# Relative Spectral Response per photon; Wright et al. 2010
# W1     RSR     uncertainty (parts per thousand)
Angstrom Fraction
46500 1.7890429643100704e-07
46600 2.2164128210957037e-07
46700 4.3691748124573764e-07
46800 1.1513980450102295e-07
46900 1.9890884291884518e-07
47000 4.5726301432143665e-07
47100 1.2798363264378267e-09
47200 1.7935894521482154e-09
47300 1.2468742896112753e-09
47400 4.2464196408274605e-10
47500 4.982950670606956e-09
47600 2.8540577403955444e-09
47700 8.482609684019095e-10
47800 1.550352352807456e-10
47900 4.3066606046828824e-10
48000 5.542168674698795e-09
48100 1.3673562173221186e-10
48200 1.6253694021368493e-10
48300 1.0476244601045692e-12
48400 5.1432143669015685e-11
48500 1.2525573994089564e-09
48600 3.869061150261422e-09
48700 1.002727892702887e-09
48800 1.0941122982496022e-11
48900 1.3753125710388724e-09
49000 3.239372584678336e-09
49100 3.5724028188224595e-13
